"134","JOR","Jordan",
"135","KAZ","Kazakhstan",
"136","KEN","Kenya",
"137","KIR","Kiribati",
"138","PRK","North Korea",
"139","KOR","South Korea",
"140","KWT","Kuwait",
"141","KGZ","Kyrgyzstan",
"142","LAO","Laos",
"143","LVA","Latvia",
"144","LBN","Lebanon",
"145","LSO","Lesotho",
"146","LBR","Liberia",
"147","LBY","Libya",
"148","LIE","Liechtenstein",
"149","LTU","Lithuania",
"150","LUX","Luxembourg",
"151","MAC","Macao",
"152","MKD","Macedonia",
"153","MDG","Madagascar",
"154","MWI","Malawi",
"155","MYS","Malaysia",
"156","MDV","Maldives",
"157","MLI","Mali",
"158","MLT","Malta",
"159","MHL","Marshall Islands",
"160","MTQ","Martinique",
"161","MRT","Mauritania",
"162","MUS","Mauritius",
"163","MYT","Mayotte",
"164","MEX","Mexico",
"165","FSM","Micronesia",
"166","MDA","Moldova",
"167","MCO","Monaco",
"168","MNG","Mongolia",
"169","MTN","Montenegro",
"170","MSR","Montserrat",
"171","MAR","Morocco",
"172","MOZ","Mozambique",
"173","MMR","Myanmar",
"174","NAM","Namibia",
"175","NRU","Nauru",
"176","NPL","Nepal",
"177","NLD","Netherlands",
"178","ANT","Netherlands Antilles",
"179","NCL","New Caledonia",
"180","NZL","New Zealand",
"181","NIC","Nicaragua",
"182","NER","Niger",
"183","NGA","Nigeria",
"184","NIU","Niue",
"185","NFK","Norfolk Island",
"186","MNP","Northern Mariana Islands",
"187","NOR","Norway",
"188","PSE","Occupied Palestinian Territory",
"189","OMN","Oman",
"190","PAK","Pakistan",
"191","PLW","Palau",
"192","PAN","Panama",
"193","PNG","Papua New Guinea",
"194","PRY","Paraguay",
"195","PER","Peru",
"196","PHL","Philippines",
"197","PCN","Pitcairn",
"198","POL","Poland",
"199","PRT","Portugal",
"200","PRI","Puerto Rico",
"201","QAT","Qatar",
"202","REU","Runion",
"203","ROM","Romania",
"204","RUS","Russia",
"205","RWA","Rwanda",
"206","SHN","Saint Helena",
"207","KNA","Saint Kitts-Nevis",
"208","LCA","Saint Lucia",
"209","SPM","Saint Pierre and Miquelon",
"210","VCT","Saint Vincent and the Grenadines",
"211","WSM","Samoa",
"212","SMR","San Marino",
"213","STP","Sao Tome and Principe",
"214","SAU","Saudi Arabia",
"215","SEN","Senegal",
"216","SRB","Serbia",
"217","SYC","Seychelles",
"218","SLE","Sierra Leone",
"219","SGP","Singapore",
"220","SVK","Slovakia",
"221","SVN","Slovenia",
"222","SLB","Solomon Islands",
"223","SOM","Somalia",
"224","ZAF","South Africa",
"225","ESP","Spain",
"226","LKA","Sri Lanka",
"227","SDN","Sudan",
"228","SUR","Suriname",
"229","SJM","Svalbard and Jan Mayen Islands",
"230","SWZ","Swaziland",
"231","SWE","Sweden",
"232","CHE","Switzerland",
"233","SYR","Syria",
"234","TJK","Tajikistan",
"235","TZA","Tanzania",
"236","THA","Thailand",
"237","TGO","Togo",
"238","TKL","Tokelau",
"239","TON","Tonga",
"240","TTO","Trinidad and Tobago",
"241","TUN","Tunisia",
"242","TUR","Turkey",
"243","TKM","Turkmenistan",
"244","TCA","Turks and Caicos Islands",
"245","TUV","Tuvalu",
"246","UGA","Uganda",
"247","UKR","Ukraine",
"248","ARE","United Arab Emirates",
"249","GBR","United Kingdom",
"250","USA","United States",
"251","VIR","United States Virgin Islands",
"252","URY","Uruguay",
"253","UZB","Uzbekistan",
"254","VUT","Vanuatu",
"255","VEN","Venezuela",
"256","VNM","Vietnam",
"257","WLF","Wallis and Futuna Islands",
"258","ESH","Western Sahara",
"259","YEM","Yemen",
"260","ZMB","Zambia",
"261","ZWE","Zimbabwe",
